id_obra,contratada,data_fim_previsto,data_inicio,descricao,municipio,percentual_executado,status,valor,
6019,CAD,"Mon, 09 Feb 2009","Fri, 12 Dec 2008","CONSTRUÇÃO DO DORMITÓRIO PARA RESIDENTES, LOCALIZADO NO HOSPITAL DE SAÚDE MENTAL DE MESSEJANA, EM FORTALEZA",FORTALEZA,100.00,Concluída,130292.28,
7744,ATHOS CONSTRUÇÕES,"Mon, 09 Apr 2018","Mon, 11 Dec 2017","	EXECUÇÃO DA CONSTRUÇÃO DO CENTRO DE ESPORTE PARA FUTEBOL – ARENINHA NO MUNICÍPIO DE CRATEÚS - CE
",CRATEÚS,13.49,Em Execução,1549540.95,
4590,JR COMÉRCIO,"Thu, 20 Sep 2012","Fri, 01 Oct 2010","EXECUÇÃO DAS OBRAS DE SISTEMA DE ABASTECIMENTO DE ÁGUAS NAS COMUNIDADES RURAIS SITUADAS NOS 08(OITO) MUNICÍPIO DE BOA VIAGEM,CANINDE,PEDRA BRANCA,QUITERIANÓPOLIS,TAUÁ,ACOPIARA,CATARINA,E IGUATU ESTADO DO CEARÁ LOTE Nº1",CANINDÉ,74.24,Concluída,208015.95,
2469,AMP ENGENHARIA,"Tue, 11 Feb 2014","Mon, 31 May 2010",CONSTRUÇÃO DA POLICLINICA DE LIMOEIRO DO NORTE,LIMOEIRO DO NORTE,100.00,Concluída,7267302.61,
4586,NOVO HORIZONTE CONTAINERS,"Thu, 07 Jul 2016","Fri, 16 Jul 2010",CANINDÉ - AQUISIÇÃO DE MÓDULOS PARA IMPLANTAÇÃO DE UNIDADES DE PRONTO ATENDIMENTO DE SAÚDE - UPA,CANINDÉ,100.00,Concluída,1907500.00,
6871,CIPAL,"Sun, 04 May 2014","Thu, 06 Mar 2014","OBRAS DE URBANIZAÇÃO E OBRAS COMPLEMENTARES NAS UNIDADES DE PRONTO ATENDIMENTO (UPA), NO MUNICIPIO DE QUIXADA - CE",QUIXADÁ,31.51,Concluída,223210.52,
5923,CEACON,"Mon, 28 Jul 2008","Mon, 31 Mar 2008",RECUPERAÇÃO DA CADEIA PÚBLICA NO MUNICÍPIO DE TAUÁ,TAUÁ,100.00,Concluída,123704.25,
6780,OX-GENIUM,"Wed, 03 Dec 2014","Mon, 22 Apr 2013","INSTALAÇÃO DOS EQUIPAMENTOS DOS GASES MEDICINAIS, INCLUSIVE A REDE DE TUBULAÇÃO NAS OBRAS DAS POLICLÍNICAS TIPO II TIANGUÁ - CE (LOTE II)",TIANGUÁ,69.29,Concluída,135541.09,
4674,STRUCTURA ENGENHARIA.,"Wed, 04 Apr 2012","Wed, 05 May 2010",CONSTRUÇÃO DE 02(DUAS)  ESCOLAS INDIGENAS COM DUAS SALAS NOS MUNICIPIOS DE CANINDE LOCALIDADE DE GAMELEIRA E TAMBORIL,CANINDÉ,96.46,Concluída,275056.04,
6565,FERRAZ ENGENHARIA,"Tue, 15 Jan 2013","Thu, 18 Oct 2012",OBRA DE AMPLIAÇÃO DA RESIDÊNCIA UNIVERSITÁRIA - URCA NA CIDADE DO CRATO-CE,CRATO,100.00,Concluída,96239.18,
6266,GARRA CONTRUÇÔES LTDA,"Mon, 01 Jun 2009","Mon, 02 Feb 2009",REFORMA E AMPLIAÇÃO DOS POSTOS RODOVIÁRIOS DOS MUNICÍPIOS DE BATURITÉ,BATURITÉ,100.00,Concluída,119955.67,
5975,VNC CONSTRUCOES,"Fri, 26 Feb 2010","Tue, 04 Nov 2008","CONSTRUÇÃO DA COBERTA DE QUADRAS ESPORTIVAS DAS ESCOLAS ESTADUIAS, EM TAUÁ",TAUÁ,100.00,Concluída,427584.03,
4708,TARCON,"Mon, 23 Aug 2010","Wed, 26 May 2010",CONSTRUÇÃO DA QUADRA COBERTA NA EEFM GULHERME WAESSEN NO MUNICIPIO DE FORTALEZA - CE,FORTALEZA,99.85,Em Execução,348291.22,
